Tree,Time,Age,Growth
T19,1952,1,0.611201877
T1,1964,1,0.951247493
T3,1967,1,1.168076789
T6,1967,1,0.975105701
T17,1970,1,1.478677808
T7,1976,1,1.389552142
T4,1977,1,1.097761669
T20,1977,1,1.295829021
T11,1978,1,0.990316937
T9,1980,1,1.186330369
T12,1983,1,1.701691775
T2,1984,1,1.521189488
T13,1987,1,1.227571002
T15,1989,1,1.013007168
T10,1991,1,1.533650639
T18,1991,1,1.675440147
T16,1992,1,1.739777371
T5,1993,1,1.603039361
T8,1994,1,1.432605805
T14,1996,1,1.577435435
T19,1953,2,0.51888681
T1,1965,2,0.82710265
T3,1968,2,0.331301342
T6,1968,2,0.217440552
T17,1971,2,0.951192769
T7,1977,2,0.941877117
T4,1978,2,0.667399626
T20,1978,2,0.871569969
T11,1979,2,1.157314801
T9,1981,2,1.155862867
T12,1984,2,1.082336951
T2,1985,2,1.242090976
T13,1988,2,0.947389414
T15,1990,2,1.158307725
T10,1992,2,1.224807779
T18,1992,2,1.231486086
T16,1993,2,1.433852819
T5,1994,2,0.985751252
T8,1995,2,0.916010309
T14,1997,2,0.836362276
T19,1954,3,0.486502463
T1,1966,3,0.836569259
T3,1969,3,0.320798209
T6,1969,3,0.17295399
T17,1972,3,0.528964841
T7,1978,3,0.63612624
T4,1979,3,1.361551156
T20,1979,3,1.168320805
T11,1980,3,0.890695415
T9,1982,3,1.248300259
T12,1985,3,1.154712592
T2,1986,3,0.907689393
T13,1989,3,0.702438189
T15,1991,3,1.085721297
T10,1993,3,1.299236964
T18,1993,3,1.508121592
T16,1994,3,0.889145761
T5,1995,3,0.981769431
T8,1996,3,1.21638178
T14,1998,3,1.352847257
T19,1955,4,0.497340964
T1,1967,4,0.517077227
T3,1970,4,1.021058871
T6,1970,4,1.180221723
T17,1973,4,0.870545959
T7,1979,4,1.293292645
T4,1980,4,0.714862006
T20,1980,4,0.792666751
T11,1981,4,1.069153382
T9,1983,4,1.109122517
T12,1986,4,0.72672811
T2,1987,4,0.908102016
T13,1990,4,1.066338475
T15,1992,4,1.135752114
T10,1994,4,1.040345213
T18,1994,4,0.863350047
T16,1995,4,0.837331396
T5,1996,4,1.270900221
T8,1997,4,0.951445103
T14,1999,4,1.093802208
T19,1956,5,0.289888671
T1,1968,5,0.226284368
T3,1971,5,0.782527296
T6,1971,5,0.756043969
T17,1974,5,1.146009525
T7,1980,5,0.892848794
T4,1981,5,1.160870423
T20,1981,5,1.056072387
T11,1982,5,1.340545673
T9,1984,5,0.764943634
T12,1987,5,0.789679428
T2,1988,5,0.889834421
T13,1991,5,1.217061434
T15,1993,5,1.414412275
T10,1995,5,1.026389154
T18,1995,5,1.014988948
T16,1996,5,1.421301978
T5,1997,5,1.161265386
T8,1998,5,1.537521301
T14,2000,5,1.197612017
T19,1957,6,0.895442876
T1,1969,6,0.029475677
T3,1972,6,0.44064964
T6,1972,6,0.394238611
T17,1975,6,1.445660812
T7,1981,6,1.024687071
T4,1982,6,1.263311189
T20,1982,6,1.250391803
T11,1983,6,1.172994213
T9,1985,6,1.164442651
T12,1988,6,0.816846998
T2,1989,6,0.838407528
T13,1992,6,0.883290001
T15,1994,6,1.082190316
T10,1996,6,1.128856536
T18,1996,6,1.264163763
T16,1997,6,0.889930728
T5,1998,6,1.372102449
T8,1999,6,0.993051939
T19,1958,7,0.329571085
T1,1970,7,1.09916494
T3,1973,7,0.667207709
T6,1973,7,0.786242842
T17,1976,7,0.741218782
T7,1982,7,1.292589202
T4,1983,7,1.086781648
T20,1983,7,1.198239064
T11,1984,7,0.893773727
T9,1986,7,0.682416595
T12,1989,7,0.519480721
T2,1990,7,1.283581795
T13,1993,7,1.30502974
T15,1995,7,0.626132703
T10,1997,7,0.988080375
T18,1997,7,0.964799845
T16,1998,7,1.392652483
T5,1999,7,1.03326545
T8,2000,7,1.203429709
T19,1959,8,0.689928193
T1,1971,8,0.794974145
T3,1974,8,1.084873175
T6,1974,8,1.154683739
T17,1977,8,0.834659061
T7,1983,8,1.042570035
T4,1984,8,1.023852193
T20,1984,8,0.91152444
T11,1985,8,1.094108412
T9,1987,8,1.091230319
T12,1990,8,1.276853204
T2,1991,8,1.229169382
T13,1994,8,0.912309235
T15,1996,8,1.307535941
T10,1998,8,1.275283423
T18,1998,8,1.336430282
T16,1999,8,1.217241603
T5,2000,8,1.062119719
T19,1960,9,0.485103412
T1,1972,9,0.525235632
T3,1975,9,1.280714459
T6,1975,9,1.296264961
T17,1978,9,0.507148496
T7,1984,9,0.90494388
T4,1985,9,1.272194971
T20,1985,9,0.981938358
T11,1986,9,0.708184426
T9,1988,9,0.806239997
T12,1991,9,1.240610175
T2,1992,9,0.944886198
T13,1995,9,0.743239086
T15,1997,9,0.977965909
T10,1999,9,0.969147712
T18,1999,9,1.035156379
T16,2000,9,1.066654097
T19,1961,10,0.845155693
T1,1973,10,0.814137276
T3,1976,10,0.627815068
T6,1976,10,0.825240036
T17,1979,10,1.045058996
T7,1985,10,0.986051944
T4,1986,10,0.862635108
T20,1986,10,0.658983703
T11,1987,10,0.771486371
T9,1989,10,0.70964833
T12,1992,10,1.099865537
T2,1993,10,1.289302164
T13,1996,10,1.006233171
T15,1998,10,1.450873477
T10,2000,10,1.138101344
T18,2000,10,1.232143931
T19,1962,11,0.812041739
T1,1974,11,1.117569292
T3,1977,11,0.737454451
T6,1977,11,0.860825246
T17,1980,11,0.995257472
T7,1986,11,0.69608536
T4,1987,11,0.817851049
T20,1987,11,0.836618147
T11,1988,11,0.778056781
T9,1990,11,1.152527603
T12,1993,11,1.134369202
T2,1994,11,0.990552619
T13,1997,11,1.00475642
T15,1999,11,0.874904224
T19,1963,12,0.255256629
T1,1975,12,1.27122749
T3,1978,12,0.38532526
T6,1978,12,0.775108377
T17,1981,12,0.94367143
T7,1987,12,0.962154911
T4,1988,12,0.784085959
T20,1988,12,0.867972973
T11,1989,12,0.443041251
T9,1991,12,1.146466886
T12,1994,12,1.003354717
T2,1995,12,0.924284602
T13,1998,12,1.396583792
T15,2000,12,0.986868827
T19,1964,13,0.317295181
T1,1976,13,0.708578828
T3,1979,13,0.885580429
T6,1979,13,1.169213076
T17,1982,13,0.988427155
T7,1988,13,0.870701339
T4,1989,13,0.483758032
T20,1989,13,0.640264581
T11,1990,13,1.113324056
T9,1992,13,0.889775694
T12,1995,13,0.853882051
T2,1996,13,1.120369268
T13,1999,13,0.997549855
T19,1965,14,0.448607152
T1,1977,14,0.688873743
T3,1980,14,0.946286988
T6,1980,14,0.8144551
T17,1983,14,1.200799538
T7,1989,14,0.573078284
T4,1990,14,0.99485688
T20,1990,14,1.084598128
T11,1991,14,0.972309325
T9,1993,14,1.138820806
T12,1996,14,1.161763246
T2,1997,14,0.971197629
T13,2000,14,1.12698139
T19,1966,15,0.905341336
T1,1978,15,0.586358803
T3,1981,15,1.067589279
T6,1981,15,1.05051855
T17,1984,15,0.795239289
T7,1990,15,1.012884482
T4,1991,15,1.043696808
T20,1991,15,1.20556909
T11,1992,15,1.067349049
T9,1994,15,0.813993583
T12,1997,15,1.030164525
T2,1998,15,1.366675497
T19,1967,16,0.801861715
T1,1979,16,0.882012076
T3,1982,16,0.880003995
T6,1982,16,0.944653726
T17,1985,16,0.891215619
T7,1991,16,1.229094092
T4,1992,16,0.963440707
T20,1992,16,1.091697705
T11,1993,16,1.166536863
T9,1995,16,0.724127064
T12,1998,16,1.411914074
T2,1999,16,1.051198427
T19,1968,17,0.03147801
T1,1980,17,0.73683552
T3,1983,17,1.236020717
T6,1983,17,1.199449346
T17,1986,17,0.601858923
T7,1992,17,1.091975688
T4,1993,17,1.229053969
T20,1993,17,1.158069999
T11,1994,17,0.856236044
T9,1996,17,1.281747173
T12,1999,17,1.041552071
T2,2000,17,1.095822543
T19,1969,18,0.411955394
T1,1981,18,1.076511001
T3,1984,18,0.871566816
T6,1984,18,0.730642791
T17,1987,18,0.950468278
T7,1993,18,1.186672949
T4,1994,18,0.934123043
T20,1994,18,0.94265995
T11,1995,18,0.955897542
T9,1997,18,0.939970468
T12,2000,18,1.243129247
T19,1970,19,1.04951263
T1,1982,19,1.267061484
T3,1985,19,1.236026981
T6,1985,19,1.133260189
T17,1988,19,0.611547659
T7,1994,19,1.01571175
T4,1995,19,0.836446582
T20,1995,19,0.647347402
T11,1996,19,1.168347877
T9,1998,19,1.359895105
T19,1971,20,0.675571832
T1,1983,20,1.286311482
T3,1986,20,0.660616703
T6,1986,20,0.646327386
T17,1989,20,0.379631147
T7,1995,20,0.875388349
T4,1996,20,1.212278354
T20,1996,20,1.322824478
T11,1997,20,1.045857099
T9,1999,20,1.00364806
T19,1972,21,0.285566319
T1,1984,21,0.762109996
T3,1987,21,0.802377783
T6,1987,21,0.898377973
T17,1990,21,0.963611014
T7,1996,21,1.14588895
T4,1997,21,0.787961225
T20,1997,21,1.013733322
T11,1998,21,1.237688854
T9,2000,21,1.116447156
T19,1973,22,0.604527979
T1,1985,22,1.259359286
T3,1988,22,0.874822594
T6,1988,22,0.861778591
T17,1991,22,1.230567396
T7,1997,22,0.802933873
T4,1998,22,1.255424393
T20,1998,22,1.326200846
T11,1999,22,0.862287993
T19,1974,23,1.123616077
T1,1986,23,0.650445364
T3,1989,23,0.366780528
T6,1989,23,0.513422507
T17,1992,23,0.987759905
T7,1998,23,1.467982833
T4,1999,23,0.961538352
T20,1999,23,0.945438812
T11,2000,23,1.216994509
T19,1975,24,0.988545695
T1,1987,24,0.874042372
T3,1990,24,1.085445164
T6,1990,24,1.045797543
T17,1993,24,1.130551072
T7,1999,24,1.039115715
T4,2000,24,1.335334301
T20,2000,24,1.332238343
T19,1976,25,0.731503291
T1,1988,25,0.754628213
T3,1991,25,1.09331389
T6,1991,25,1.233626625
T17,1994,25,0.919408426
T7,2000,25,1.143252983
T19,1977,26,1.005636134
T1,1989,26,0.387447819
T3,1992,26,0.955126592
T6,1992,26,0.901965608
T17,1995,26,0.841918314
T19,1978,27,0.444866626
T1,1990,27,1.084563361
T3,1993,27,1.296960002
T6,1993,27,1.081946898
T17,1996,27,1.08051055
T19,1979,28,1.014546728
T1,1991,28,1.053501826
T3,1994,28,0.930328079
T6,1994,28,0.959223781
T17,1997,28,0.98676344
T19,1980,29,0.66489962
T1,1992,29,0.940212388
T3,1995,29,0.757661633
T6,1995,29,0.766568792
T17,1998,29,1.403944758
T19,1981,30,1.062973405
T1,1993,30,1.247919384
T3,1996,30,1.007786927
T6,1996,30,1.126226036
T17,1999,30,1.062416207
T19,1982,31,1.040253021
T1,1994,31,0.951961469
T3,1997,31,0.796287913
T6,1997,31,1.000138787
T17,2000,31,1.242453214
T19,1983,32,1.035877627
T1,1995,32,0.684069788
T3,1998,32,1.462209256
T6,1998,32,1.253360407
T19,1984,33,0.767039872
T1,1996,33,1.237041723
T3,1999,33,1.006293973
T6,1999,33,1.182823541
T19,1985,34,1.102834368
T1,1997,34,0.668095049
T3,2000,34,1.071169889
T6,2000,34,1.153435516
T19,1986,35,0.527650208
T1,1998,35,1.414176427
T19,1987,36,0.865277532
T1,1999,36,1.033158235
T19,1988,37,0.914103408
T1,2000,37,1.156750192
T19,1989,38,0.5216178
T19,1990,39,1.088029647
T19,1991,40,1.150936973
T19,1992,41,0.874592501
T19,1993,42,1.024629764
T19,1994,43,1.023709023
T19,1995,44,0.816926696
T19,1996,45,1.121332503
T19,1997,46,0.7785932
T19,1998,47,1.348512122
T19,1999,48,1.075620998
T19,2000,49,1.231135488
